v1	V(vds)	V(vgs)	Id(J1)
6.049999999999987e+000	6.050000e+000	-1.000000e+000	3.673125e-004
6.099999999999986e+000	6.100000e+000	-1.000000e+000	3.673125e-004
6.149999999999986e+000	6.150000e+000	-1.000000e+000	3.673125e-004
6.199999999999986e+000	6.200000e+000	-1.000000e+000	3.673125e-004
6.249999999999986e+000	6.250000e+000	-1.000000e+000	3.673125e-004
6.299999999999986e+000	6.300000e+000	-1.000000e+000	3.673125e-004
6.349999999999985e+000	6.350000e+000	-1.000000e+000	3.673125e-004
6.399999999999985e+000	6.400000e+000	-1.000000e+000	3.673125e-004
6.449999999999985e+000	6.450000e+000	-1.000000e+000	3.673125e-004
6.499999999999985e+000	6.500000e+000	-1.000000e+000	3.673125e-004
6.549999999999985e+000	6.550000e+000	-1.000000e+000	3.673125e-004
6.599999999999985e+000	6.600000e+000	-1.000000e+000	3.673125e-004
6.649999999999984e+000	6.650000e+000	-1.000000e+000	3.673125e-004
6.699999999999984e+000	6.700000e+000	-1.000000e+000	3.673125e-004
6.749999999999984e+000	6.750000e+000	-1.000000e+000	3.673125e-004
6.799999999999984e+000	6.800000e+000	-1.000000e+000	3.673125e-004
6.849999999999984e+000	6.850000e+000	-1.000000e+000	3.673125e-004
6.899999999999984e+000	6.900000e+000	-1.000000e+000	3.673125e-004
6.949999999999983e+000	6.950000e+000	-1.000000e+000	3.673125e-004
6.999999999999983e+000	7.000000e+000	-1.000000e+000	3.673125e-004
7.049999999999983e+000	7.050000e+000	-1.000000e+000	3.673125e-004
7.099999999999983e+000	7.100000e+000	-1.000000e+000	3.673125e-004
7.149999999999983e+000	7.150000e+000	-1.000000e+000	3.673125e-004
7.199999999999982e+000	7.200000e+000	-1.000000e+000	3.673125e-004
7.249999999999982e+000	7.250000e+000	-1.000000e+000	3.673125e-004
7.299999999999982e+000	7.300000e+000	-1.000000e+000	3.673125e-004
7.349999999999982e+000	7.350000e+000	-1.000000e+000	3.673125e-004
7.399999999999982e+000	7.400000e+000	-1.000000e+000	3.673125e-004
7.449999999999982e+000	7.450000e+000	-1.000000e+000	3.673125e-004
7.499999999999981e+000	7.500000e+000	-1.000000e+000	3.673125e-004
7.549999999999981e+000	7.550000e+000	-1.000000e+000	3.673125e-004
7.599999999999981e+000	7.600000e+000	-1.000000e+000	3.673125e-004
7.649999999999981e+000	7.650000e+000	-1.000000e+000	3.673125e-004
7.699999999999981e+000	7.700000e+000	-1.000000e+000	3.673125e-004
7.749999999999981e+000	7.750000e+000	-1.000000e+000	3.673125e-004
7.799999999999980e+000	7.800000e+000	-1.000000e+000	3.673125e-004
7.849999999999980e+000	7.850000e+000	-1.000000e+000	3.673125e-004
7.899999999999980e+000	7.900000e+000	-1.000000e+000	3.673125e-004
7.949999999999980e+000	7.950000e+000	-1.000000e+000	3.673125e-004
7.999999999999980e+000	8.000000e+000	-1.000000e+000	3.673125e-004
8.049999999999979e+000	8.050000e+000	-1.000000e+000	3.673125e-004
8.099999999999980e+000	8.100000e+000	-1.000000e+000	3.673125e-004
8.149999999999981e+000	8.150000e+000	-1.000000e+000	3.673125e-004
8.199999999999982e+000	8.200000e+000	-1.000000e+000	3.673125e-004
8.249999999999982e+000	8.250000e+000	-1.000000e+000	3.673125e-004
8.299999999999983e+000	8.300000e+000	-1.000000e+000	3.673125e-004
8.349999999999984e+000	8.350000e+000	-1.000000e+000	3.673125e-004
8.399999999999984e+000	8.400000e+000	-1.000000e+000	3.673125e-004
8.449999999999985e+000	8.450000e+000	-1.000000e+000	3.673125e-004
8.499999999999986e+000	8.500000e+000	-1.000000e+000	3.673125e-004
8.549999999999987e+000	8.550000e+000	-1.000000e+000	3.673125e-004
8.599999999999987e+000	8.600000e+000	-1.000000e+000	3.673125e-004
8.649999999999988e+000	8.650000e+000	-1.000000e+000	3.673125e-004
8.699999999999989e+000	8.700000e+000	-1.000000e+000	3.673125e-004
8.749999999999989e+000	8.750000e+000	-1.000000e+000	3.673125e-004
8.799999999999990e+000	8.800000e+000	-1.000000e+000	3.673125e-004
8.849999999999991e+000	8.850000e+000	-1.000000e+000	3.673125e-004
8.899999999999992e+000	8.900000e+000	-1.000000e+000	3.673125e-004
8.949999999999992e+000	8.950000e+000	-1.000000e+000	3.673125e-004
8.999999999999993e+000	9.000000e+000	-1.000000e+000	3.673125e-004
9.049999999999994e+000	9.050000e+000	-1.000000e+000	3.673125e-004
9.099999999999994e+000	9.100000e+000	-1.000000e+000	3.673125e-004
9.149999999999995e+000	9.150000e+000	-1.000000e+000	3.673125e-004
9.199999999999996e+000	9.200000e+000	-1.000000e+000	3.673125e-004
9.249999999999996e+000	9.250000e+000	-1.000000e+000	3.673125e-004
9.299999999999997e+000	9.300000e+000	-1.000000e+000	3.673125e-004
9.349999999999998e+000	9.350000e+000	-1.000000e+000	3.673125e-004
9.399999999999999e+000	9.400000e+000	-1.000000e+000	3.673125e-004
9.449999999999999e+000	9.450000e+000	-1.000000e+000	3.673125e-004
9.500000000000000e+000	9.500000e+000	-1.000000e+000	3.673125e-004
9.550000000000001e+000	9.550000e+000	-1.000000e+000	3.673125e-004
9.600000000000001e+000	9.600000e+000	-1.000000e+000	3.673125e-004
9.650000000000002e+000	9.650000e+000	-1.000000e+000	3.673125e-004
9.700000000000003e+000	9.700000e+000	-1.000000e+000	3.673125e-004
9.750000000000004e+000	9.750000e+000	-1.000000e+000	3.673125e-004
9.800000000000004e+000	9.800000e+000	-1.000000e+000	3.673125e-004
9.850000000000005e+000	9.850000e+000	-1.000000e+000	3.673125e-004
9.900000000000006e+000	9.900000e+000	-1.000000e+000	3.673125e-004
9.950000000000006e+000	9.950000e+000	-1.000000e+000	3.673125e-004
1.000000000000001e+001	1.000000e+001	-1.000000e+000	3.673125e-004
1.005000000000001e+001	1.005000e+001	-1.000000e+000	3.673125e-004
1.010000000000001e+001	1.010000e+001	-1.000000e+000	3.673125e-004
1.015000000000001e+001	1.015000e+001	-1.000000e+000	3.673125e-004
1.020000000000001e+001	1.020000e+001	-1.000000e+000	3.673125e-004
1.025000000000001e+001	1.025000e+001	-1.000000e+000	3.673125e-004
1.030000000000001e+001	1.030000e+001	-1.000000e+000	3.673125e-004
1.035000000000001e+001	1.035000e+001	-1.000000e+000	3.673125e-004
1.040000000000001e+001	1.040000e+001	-1.000000e+000	3.673125e-004
1.045000000000001e+001	1.045000e+001	-1.000000e+000	3.673125e-004
1.050000000000001e+001	1.050000e+001	-1.000000e+000	3.673125e-004
1.055000000000002e+001	1.055000e+001	-1.000000e+000	3.673125e-004
1.060000000000002e+001	1.060000e+001	-1.000000e+000	3.673125e-004
1.065000000000002e+001	1.065000e+001	-1.000000e+000	3.673125e-004
1.070000000000002e+001	1.070000e+001	-1.000000e+000	3.673125e-004
1.075000000000002e+001	1.075000e+001	-1.000000e+000	3.673125e-004
1.080000000000002e+001	1.080000e+001	-1.000000e+000	3.673125e-004
1.085000000000002e+001	1.085000e+001	-1.000000e+000	3.673125e-004
1.090000000000002e+001	1.090000e+001	-1.000000e+000	3.673125e-004
1.095000000000002e+001	1.095000e+001	-1.000000e+000	3.673125e-004
1.100000000000002e+001	1.100000e+001	-1.000000e+000	3.673125e-004
1.105000000000002e+001	1.105000e+001	-1.000000e+000	3.673125e-004
1.110000000000002e+001	1.110000e+001	-1.000000e+000	3.673125e-004
1.115000000000002e+001	1.115000e+001	-1.000000e+000	3.673125e-004
1.120000000000002e+001	1.120000e+001	-1.000000e+000	3.673125e-004
1.125000000000003e+001	1.125000e+001	-1.000000e+000	3.673125e-004
1.130000000000003e+001	1.130000e+001	-1.000000e+000	3.673125e-004
1.135000000000003e+001	1.135000e+001	-1.000000e+000	3.673125e-004
1.140000000000003e+001	1.140000e+001	-1.000000e+000	3.673125e-004
1.145000000000003e+001	1.145000e+001	-1.000000e+000	3.673125e-004
1.150000000000003e+001	1.150000e+001	-1.000000e+000	3.673125e-004
1.155000000000003e+001	1.155000e+001	-1.000000e+000	3.673125e-004
1.160000000000003e+001	1.160000e+001	-1.000000e+000	3.673125e-004
1.165000000000003e+001	1.165000e+001	-1.000000e+000	3.673125e-004
