v2,V(vgs),Id(J1)
-4.040000000000042e+000,-4.040000e+000,1.405000e-011
-4.030000000000042e+000,-4.030000e+000,1.404000e-011
-4.020000000000042e+000,-4.020000e+000,1.403000e-011
-4.010000000000042e+000,-4.010000e+000,1.402000e-011
-4.000000000000043e+000,-4.000000e+000,1.401000e-011
-3.990000000000043e+000,-3.990000e+000,1.400000e-011
-3.980000000000043e+000,-3.980000e+000,1.399000e-011
-3.970000000000043e+000,-3.970000e+000,1.398000e-011
-3.960000000000044e+000,-3.960000e+000,1.397000e-011
-3.950000000000044e+000,-3.950000e+000,1.396000e-011
-3.940000000000044e+000,-3.940000e+000,1.395000e-011
-3.930000000000044e+000,-3.930000e+000,1.394000e-011
-3.920000000000044e+000,-3.920000e+000,1.393000e-011
-3.910000000000045e+000,-3.910000e+000,1.392000e-011
-3.900000000000045e+000,-3.900000e+000,1.391000e-011
-3.890000000000045e+000,-3.890000e+000,1.390000e-011
-3.880000000000045e+000,-3.880000e+000,1.389000e-011
-3.870000000000045e+000,-3.870000e+000,1.388000e-011
-3.860000000000046e+000,-3.860000e+000,1.387000e-011
-3.850000000000046e+000,-3.850000e+000,1.386000e-011
-3.840000000000046e+000,-3.840000e+000,1.385000e-011
-3.830000000000046e+000,-3.830000e+000,1.384000e-011
-3.820000000000047e+000,-3.820000e+000,1.383000e-011
-3.810000000000047e+000,-3.810000e+000,1.382000e-011
-3.800000000000047e+000,-3.800000e+000,1.381000e-011
-3.790000000000047e+000,-3.790000e+000,1.380000e-011
-3.780000000000047e+000,-3.780000e+000,1.379000e-011
-3.770000000000048e+000,-3.770000e+000,1.378000e-011
-3.760000000000048e+000,-3.760000e+000,1.377000e-011
-3.750000000000048e+000,-3.750000e+000,1.376000e-011
-3.740000000000048e+000,-3.740000e+000,1.375000e-011
-3.730000000000048e+000,-3.730000e+000,1.374000e-011
-3.720000000000049e+000,-3.720000e+000,1.373000e-011
-3.710000000000049e+000,-3.710000e+000,1.372000e-011
-3.700000000000049e+000,-3.700000e+000,1.371000e-011
-3.690000000000049e+000,-3.690000e+000,1.370000e-011
-3.680000000000050e+000,-3.680000e+000,1.369000e-011
-3.670000000000050e+000,-3.670000e+000,1.368000e-011
-3.660000000000050e+000,-3.660000e+000,1.367000e-011
-3.650000000000050e+000,-3.650000e+000,1.366000e-011
-3.640000000000050e+000,-3.640000e+000,1.365000e-011
-3.630000000000051e+000,-3.630000e+000,1.364000e-011
-3.620000000000051e+000,-3.620000e+000,1.363000e-011
-3.610000000000051e+000,-3.610000e+000,1.362000e-011
-3.600000000000051e+000,-3.600000e+000,1.361000e-011
-3.590000000000051e+000,-3.590000e+000,1.360000e-011
-3.580000000000052e+000,-3.580000e+000,1.359000e-011
-3.570000000000052e+000,-3.570000e+000,1.358000e-011
-3.560000000000052e+000,-3.560000e+000,1.357000e-011
-3.550000000000052e+000,-3.550000e+000,1.356000e-011
-3.540000000000052e+000,-3.540000e+000,1.355000e-011
-3.530000000000053e+000,-3.530000e+000,1.354000e-011
-3.520000000000053e+000,-3.520000e+000,1.353000e-011
-3.510000000000053e+000,-3.510000e+000,1.352000e-011
-3.500000000000053e+000,-3.500000e+000,1.351000e-011
-3.490000000000054e+000,-3.490000e+000,1.350000e-011
-3.480000000000054e+000,-3.480000e+000,1.349000e-011
-3.470000000000054e+000,-3.470000e+000,1.348000e-011
-3.460000000000054e+000,-3.460000e+000,1.347000e-011
-3.450000000000054e+000,-3.450000e+000,1.346000e-011
-3.440000000000055e+000,-3.440000e+000,1.345000e-011
-3.430000000000055e+000,-3.430000e+000,1.344000e-011
-3.420000000000055e+000,-3.420000e+000,1.343000e-011
-3.410000000000055e+000,-3.410000e+000,1.342000e-011
-3.400000000000055e+000,-3.400000e+000,1.341000e-011
-3.390000000000056e+000,-3.390000e+000,1.340000e-011
-3.380000000000056e+000,-3.380000e+000,1.339000e-011
-3.370000000000056e+000,-3.370000e+000,1.338000e-011
-3.360000000000056e+000,-3.360000e+000,1.337000e-011
-3.350000000000057e+000,-3.350000e+000,1.336000e-011
-3.340000000000057e+000,-3.340000e+000,1.335000e-011
-3.330000000000057e+000,-3.330000e+000,1.334000e-011
-3.320000000000057e+000,-3.320000e+000,1.333000e-011
-3.310000000000057e+000,-3.310000e+000,1.332000e-011
-3.300000000000058e+000,-3.300000e+000,1.331000e-011
-3.290000000000058e+000,-3.290000e+000,1.330000e-011
-3.280000000000058e+000,-3.280000e+000,1.329000e-011
-3.270000000000058e+000,-3.270000e+000,1.328000e-011
-3.260000000000058e+000,-3.260000e+000,1.327000e-011
-3.250000000000059e+000,-3.250000e+000,1.326000e-011
-3.240000000000059e+000,-3.240000e+000,1.325000e-011
-3.230000000000059e+000,-3.230000e+000,1.324000e-011
-3.220000000000059e+000,-3.220000e+000,1.323000e-011
-3.210000000000060e+000,-3.210000e+000,1.322000e-011
-3.200000000000060e+000,-3.200000e+000,1.321000e-011
-3.190000000000060e+000,-3.190000e+000,1.320000e-011
-3.180000000000060e+000,-3.180000e+000,1.319000e-011
-3.170000000000060e+000,-3.170000e+000,1.318000e-011
-3.160000000000061e+000,-3.160000e+000,1.317000e-011
-3.150000000000061e+000,-3.150000e+000,1.316000e-011
-3.140000000000061e+000,-3.140000e+000,1.315000e-011
-3.130000000000061e+000,-3.130000e+000,1.314000e-011
-3.120000000000061e+000,-3.120000e+000,1.313000e-011
-3.110000000000062e+000,-3.110000e+000,1.312000e-011
-3.100000000000062e+000,-3.100000e+000,1.311000e-011
-3.090000000000062e+000,-3.090000e+000,1.310000e-011
-3.080000000000062e+000,-3.080000e+000,1.309000e-011
-3.070000000000063e+000,-3.070000e+000,1.308000e-011
-3.060000000000063e+000,-3.060000e+000,1.307000e-011
-3.050000000000063e+000,-3.050000e+000,1.306000e-011
-3.040000000000063e+000,-3.040000e+000,1.305000e-011
-3.030000000000063e+000,-3.030000e+000,1.304000e-011
-3.020000000000064e+000,-3.020000e+000,1.303000e-011
-3.010000000000064e+000,-3.010000e+000,1.302000e-011
-3.000000000000064e+000,-3.000000e+000,1.301000e-011
-2.990000000000064e+000,-2.990000e+000,1.300000e-011
-2.980000000000064e+000,-2.980000e+000,1.299000e-011
-2.970000000000065e+000,-2.970000e+000,1.298000e-011
-2.960000000000065e+000,-2.960000e+000,1.297000e-011
-2.950000000000065e+000,-2.950000e+000,1.296000e-011
-2.940000000000065e+000,-2.940000e+000,1.295000e-011
-2.930000000000065e+000,-2.930000e+000,1.294000e-011
-2.920000000000066e+000,-2.920000e+000,1.293000e-011
-2.910000000000066e+000,-2.910000e+000,1.292000e-011
-2.900000000000066e+000,-2.900000e+000,1.291000e-011
-2.890000000000066e+000,-2.890000e+000,1.290000e-011
-2.880000000000067e+000,-2.880000e+000,1.289000e-011
-2.870000000000067e+000,-2.870000e+000,1.288000e-011
-2.860000000000067e+000,-2.860000e+000,1.287000e-011
-2.850000000000067e+000,-2.850000e+000,1.286000e-011
-2.840000000000067e+000,-2.840000e+000,1.285000e-011
-2.830000000000068e+000,-2.830000e+000,1.284000e-011
-2.820000000000068e+000,-2.820000e+000,1.283000e-011
-2.810000000000068e+000,-2.810000e+000,1.282000e-011
-2.800000000000068e+000,-2.800000e+000,1.281000e-011
-2.790000000000068e+000,-2.790000e+000,1.280000e-011
-2.780000000000069e+000,-2.780000e+000,1.279000e-011
-2.770000000000069e+000,-2.770000e+000,1.278000e-011
